titre,ingredients,instructions,tempspreparation,photo
Soupe de Nouilles au Poulet en One Pot,"400 g de blancs de poulet, 200 g de nouilles, 2 litres de bouillon de poulet, 200 g de carottes, 200 g de céleri, 1 oignon, 2 gousses d'ail, Sel et poivre au goût","1. Dans une grande casserole, cuisez les blancs de poulet, les nouilles, le bouillon de poulet, les carottes, le céleri, l'oignon et l'ail. 2. Assaisonnez avec du sel et du poivre. 3. Cuisez jusqu'à ce que les ingrédients soient bien cuits. 4. Servez.",30,https://i.ibb.co/pK6FZHw/Crockpot-Chicken-Noodle-Soup-Spend-With-Pennies.jpg
Pâtes au Poulet au Pesto en One-Pot,"400 g de pâtes, 400 g de blancs de poulet, 200 g de tomates cerises, 60 g de pesto, 1 litre d'eau, Sel et poivre au goût","1. Dans une grande casserole, cuisez les pâtes, le poulet, les tomates cerises, le pesto, l'eau, le sel et le poivre. 2. Cuisez jusqu'à ce que les pâtes soient al dente. 3. Servez.",25,https://i.ibb.co/CKKZbjB/IMG-4101-1.jpg
Pâtes avec Saucisse Italienne,"400 g de pâtes, 400 g de saucisse italienne, 500 ml de sauce tomate, 2 gousses d'ail, 60 ml d'huile d'olive, Sel et poivre au goût","1. Cuisez les pâtes selon les instructions du paquet. 2. Dans une poêle, faites cuire la saucisse avec la sauce tomate, l'ail et l'huile d'olive. 3. Assaisonnez avec du sel et du poivre. 4. Mélangez les pâtes avec la sauce. 5. Servez.",35,https://i.ibb.co/Cv3dcjx/Zesty-Italian-Sausage-Pasta-Recipe-Food-Network.jpg
Chou-fleur au Pesto,"1 chou-fleur (environ 800 g), 60 g de pesto, 60 ml d'huile d'olive, Sel et poivre au goût",1. Préchauffez le four à 200°C. 2. Coupez le chou-fleur en petits bouquets. 3. Mélangez le chou-fleur avec le pesto et l'huile d'olive. 4. Assaisonnez avec du sel et du poivre. 5. Faites cuire au four jusqu'à ce que le chou-fleur soit tendre. 6. Servez.,30,https://i.ibb.co/G0Zw9gj/pesto-cauliflower.jpg
Sandwich au Poulet au Pesto,"400 g de blancs de poulet, 4 petits pains, 120 g de pesto, 120 g de tomates séchées, 60 g de roquette","1. Cuisez les blancs de poulet. 2. Tartinez le pesto sur les petits pains. 3. Assemblez les sandwichs avec le poulet, les tomates séchées et la roquette. 4. Servez.",25,https://i.ibb.co/QCYwC8g/1493407980320.jpg
Grilled Cheese au Pesto avec Soupe de Tomates Rôties,"8 tranches de pain, 200 g de fromage cheddar, 60 g de pesto, 800 g de tomates, 2 gousses d'ail, 60 ml d'huile d'olive, Sel et poivre au goût","1. Préchauffez le four à 200°C. 2. Étalez le pesto sur les tranches de pain. 3. Assemblez les sandwichs avec le fromage. 4. Faites cuire au four jusqu'à ce que le fromage soit fondu. 5. Dans une casserole, faites rôtir les tomates avec l'ail et l'huile d'olive. 6. Mixez les tomates rôties pour faire la soupe. 7. Assaisonnez avec du sel et du poivre. 8. Servez.",40,https://i.ibb.co/Kzhvbv8/p-1-682x1024.jpg
Boulettes de Viande au Pesto avec Spaghetti,"400 g de viande hachée, 60 g de pesto, 500 ml de sauce tomate, 400 g de spaghetti, Sel et poivre au goût","1. Mélangez la viande hachée avec le pesto. 2. Façonnez des boulettes de viande. 3. Dans une poêle, cuisez les boulettes avec la sauce tomate. 4. Cuisez les spaghetti selon les instructions du paquet. 5. Servez les boulettes de viande sur les spaghetti. 6. Assaisonnez avec du sel et du poivre. 7. Servez.",40,https://i.ibb.co/LNfr63f/Spaghetti-and-Turkey-Meatballs-with-Spinach-Pesto.jpg
Pâtes au Pesto avec Légumes d'Été,"400 g de pâtes, 60 g de pesto, 200 g de courgettes, 200 g de tomates cerises, 200 g de maïs, 60 ml d'huile d'olive, Sel et poivre au goût","1. Cuisez les pâtes selon les instructions du paquet. 2. Dans une poêle, faites sauter les courgettes, les tomates cerises et le maïs avec le pesto et l'huile d'olive. 3. Mélangez les pâtes avec les légumes. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",30,https://i.ibb.co/j4qjBkc/eh-K0hzln-R8-WQl7q-L8l7e-2018-0612-Good-Eggs-Kitchen-Dinner-Kit-Pesto-Pastawith-Summer-Vegetables-ma.jpg
Sandwichs au Steak et Fromage Philadelphie,"400 g de bifteck, 4 petits pains, 200 g de fromage philadelphie, 1 poivron, 1 oignon, 60 ml d'huile d'olive, Sel et poivre au goût","1. Tranchez le bifteck, le poivron et l'oignon. 2. Dans une poêle, cuisez le bifteck, le poivron et l'oignon avec l'huile d'olive. 3. Tartinez le fromage philadelphie sur les petits pains. 4. Assemblez les sandwichs avec le bifteck, le poivron et l'oignon. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",30,https://i.ibb.co/4FRt8qK/Aua-F7h-Jo-Spy-BVt2-UVb4s-philly-cheesesteak-2.jpg
Pizza,"400 g de pâte à pizza, 200 g de sauce tomate, 200 g de fromage mozzarella, 100 g de pepperoni, 1 poivron, 1 oignon","1. Étalez la pâte à pizza sur une plaque de cuisson. 2. Étalez la sauce tomate sur la pâte. 3. Saupoudrez de fromage mozzarella et disposez le pepperoni, le poivron et l'oignon. 4. Cuisez au four jusqu'à ce que la croûte soit dorée. 5. Servez.",25,https://i.ibb.co/kx3tjzh/6103963837-4fe226c133-b.jpg
Brocoli au Fromage,"400 g de brocoli, 200 g de fromage cheddar râpé, 60 ml de crème fraîche, 30 g de beurre, Sel et poivre au goût","1. Cuisez le brocoli à la vapeur jusqu'à ce qu'il soit tendre. 2. Dans une casserole, faites fondre le fromage cheddar, la crème fraîche et le beurre. 3. Mélangez le brocoli cuit avec la sauce au fromage. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",20,https://i.ibb.co/7yFTpR0/broccoli-with-cheese.jpg
Poulet et Dumplings,"400 g de blancs de poulet, 200 g de farine, 200 ml de lait, 1 litre de bouillon de poulet, 200 g de carottes, 200 g de céleri, 1 oignon, 2 gousses d'ail, Sel et poivre au goût","1. Cuisez les blancs de poulet dans le bouillon de poulet avec les carottes, le céleri, l'oignon et l'ail. 2. Dans un bol, mélangez la farine et le lait pour former une pâte à dumplings. 3. Déposez des cuillerées de pâte à dumplings dans le bouillon. 4. Cuisez jusqu'à ce que les dumplings soient cuits. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",40,https://i.ibb.co/RYRZSvF/Chicken-and-Dumplings-575x350.jpg
Gyros au Poulet,"400 g de blancs de poulet, 4 pains pita, 200 g de yaourt grec, 1 concombre, 2 tomates, 1 oignon rouge, 2 gousses d'ail, 30 ml de jus de citron, 15 ml d'huile d'olive, Sel et poivre au goût","1. Cuisez les blancs de poulet. 2. Coupez le poulet cuit en lanières. 3. Dans un bol, mélangez le yaourt grec, le concombre, les tomates, l'oignon rouge, l'ail, le jus de citron et l'huile d'olive. 4. Assemblez les pains pita avec le poulet et la sauce. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",30,https://i.ibb.co/1nV3Yd1/Chicken-Gyros-with-Tzatziki-Sauce-foodiecrush-com-039-683x1024.jpg
Poulet Korma,"400 g de blancs de poulet, 200 ml de lait de coco, 60 g d'amandes, 2 oignons, 2 gousses d'ail, 2 cuillères à soupe de curry en poudre, 2 cuillères à soupe de yaourt, 30 ml d'huile d'olive, Sel et poivre au goût","1. Cuisez les blancs de poulet dans l'huile d'olive avec les oignons et l'ail. 2. Ajoutez le lait de coco, les amandes, le curry en poudre et le yaourt. 3. Cuisez jusqu'à ce que le poulet soit bien cuit et la sauce épaissie. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",35,https://i.ibb.co/qyKDP98/b25831eaa07f82531016a953640e261885a51416-ss-korma.jpg
Parmesan de Nuggets de Poulet,"400 g de galettes de nuggets de poulet, 200 g de sauce tomate, 200 g de mozzarella râpée, 60 g de parmesan râpé, 1 cuillère à soupe d'origan séché, Sel et poivre au goût","1. Cuisez les galettes de nuggets de poulet. 2. Préchauffez le four à 200°C. 3. Disposez les galettes de poulet dans un plat de cuisson. 4. Étalez la sauce tomate sur les galettes. 5. Saupoudrez de mozzarella, de parmesan et d'origan. 6. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 7. Assaisonnez avec du sel et du poivre. 8. Servez.",25,https://i.ibb.co/bBNZprF/4ceeb3e6-004f-4cce-8a2d-8e9ede9ee558.jpg
Wraps au Poulet,"400 g de blancs de poulet, 4 tortillas de blé, 200 g de laitue, 200 g de tomates, 200 g de fromage cheddar râpé, 60 g de mayonnaise, 30 ml de moutarde, Sel et poivre au goût","1. Cuisez les blancs de poulet. 2. Dans chaque tortilla, placez du poulet cuit, de la laitue, des tomates, du fromage cheddar, de la mayonnaise et de la moutarde. 3. Assaisonnez avec du sel et du poivre. 4. Roulez les wraps. 5. Servez.",30,https://i.ibb.co/J3ChWgk/116606-640x428.jpg
Carottes Bébé Cuites,"400 g de carottes bébé, 30 g de beurre, 15 ml de miel, Sel et poivre au goût","1. Cuisez les carottes bébé jusqu'à ce qu'elles soient tendres. 2. Dans une poêle, faites fondre le beurre et ajoutez le miel. 3. Mélangez les carottes cuites avec la sauce au miel. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",20,https://i.ibb.co/b12c4hh/carrots.jpg
Tacos Croquants,"400 g de bœuf haché, 8 coquilles de tacos, 200 g de laitue, 200 g de tomates, 120 g de fromage cheddar râpé, 60 ml de salsa, 1 sachet d'assaisonnement pour tacos, Sel et poivre au goût","1. Cuisez le bœuf haché avec l'assaisonnement pour tacos. 2. Dans chaque coquille de taco, placez du bœuf cuit, de la laitue, des tomates, du fromage cheddar et de la salsa. 3. Assaisonnez avec du sel et du poivre. 4. Servez.",30,https://i.ibb.co/NLhBc62/Chicken-taco-3.jpg
Boulettes de Viande au Curry & Chou-fleur,"400 g de viande hachée, 1 chou-fleur (environ 800 g), 60 g de chapelure, 1 œuf, 200 ml de lait de coco, 2 cuillères à soupe de pâte de curry, 2 cuillères à soupe de coriandre fraîche hachée, Sel et poivre au goût","1. Mélangez la viande hachée avec la chapelure, l'œuf, la coriandre, le sel et le poivre. 2. Façonnez des boulettes de viande. 3. Cuisez les boulettes dans une poêle. 4. Dans une casserole, cuisez le chou-fleur avec le lait de coco et la pâte de curry. 5. Servez les boulettes de viande sur le chou-fleur au curry. 6. Assaisonnez avec du sel et du poivre. 7. Servez.",40,https://i.ibb.co/vVR3XTx/Pressure-Cooker-Coconut-Curry-Meatballs-Cauliflower-Delicious.jpg
Poulet et Brocoli Faciles,"400 g de blancs de poulet, 400 g de brocoli, 60 ml de sauce soja, 30 ml de miel, 2 gousses d'ail, 30 g de fécule de maïs, 60 ml d'eau, 15 ml d'huile végétale","1. Cuisez les blancs de poulet dans l'huile végétale. 2. Dans une poêle, faites sauter le brocoli avec la sauce soja, le miel, l'ail et l'eau. 3. Ajoutez la fécule de maïs pour épaissir la sauce. 4. Ajoutez le poulet cuit à la sauce. 5. Servez.",30,https://i.ibb.co/W5Rpsrr/Chinese-Chicken-and-Broccoli.jpg
Fajitas,"400 g de poulet, 4 tortillas de blé, 2 poivrons, 1 oignon, 60 ml d'huile d'olive, 2 cuillères à soupe de mélange d'épices pour fajitas, Sel et poivre au goût","1. Cuisez le poulet dans l'huile d'olive avec les poivrons, l'oignon et le mélange d'épices. 2. Réchauffez les tortillas. 3. Assemblez les fajitas avec le poulet et les légumes. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",30,https://i.ibb.co/fH73Hv2/chicken-fajitas-video-Sixteen-By-Nine-Jumbo1600.jpg
Maïs Fiesta,"400 g de maïs en grains, 60 ml de mayonnaise, 60 g de fromage feta émietté, 1 cuillère à café de paprika, 1 cuillère à soupe de coriandre fraîche hachée, Sel et poivre au goût","1. Cuisez le maïs en grains. 2. Dans un bol, mélangez le maïs cuit avec la mayonnaise, le fromage feta, le paprika et la coriandre. 3. Assaisonnez avec du sel et du poivre. 4. Servez.",20,https://i.ibb.co/mGCHBwC/R131102.jpg
Pizza à Pain Plat,"400 g de pâte à pain plat, 200 g de sauce tomate, 200 g de mozzarella râpée, 100 g de champignons tranchés, 1 poivron, 1 oignon","1. Étalez la pâte à pain plat sur une plaque de cuisson. 2. Étalez la sauce tomate sur la pâte. 3. Saupoudrez de mozzarella et disposez les champignons, le poivron et l'oignon. 4. Cuisez au four jusqu'à ce que la croûte soit dorée. 5. Servez.",25,https://i.ibb.co/CMY4dR7/Screen-Shot-2019-02-02-at-3-38-08-PM.png
Pizza au Pain Français,"400 g de pain français, 200 g de sauce tomate, 200 g de mozzarella râpée, 100 g de pepperoni, 1 poivron, 1 oignon","1. Préchauffez le four à 200°C. 2. Coupez le pain français en deux dans le sens de la longueur. 3. Étalez la sauce tomate sur les moitiés de pain. 4. Saupoudrez de mozzarella et disposez le pepperoni, le poivron et l'oignon. 5. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 6. Servez.",25,https://i.ibb.co/M92kxY5/20130305-french-bread-pizza-pizza-lab-28.jpg
Courgette Grillée,"4 courgettes, 60 ml d'huile d'olive, 2 cuillères à soupe d'herbes de Provence, Sel et poivre au goût","1. Préchauffez le grill. 2. Coupez les courgettes en tranches. 3. Dans un bol, mélangez les courgettes avec l'huile d'olive et les herbes de Provence. 4. Grillez les courgettes jusqu'à ce qu'elles soient tendres et dorées. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",15,https://i.ibb.co/R9fNXZv/grilled-zucchini.jpg
Burgers Guacamole Bacon,"400 g de bœuf haché, 4 petits pains à hamburger, 200 g de guacamole, 200 g de bacon, 4 tranches de fromage, Sel et poivre au goût","1. Façonnez le bœuf haché en burgers. 2. Cuisez les burgers dans une poêle. 3. Cuisez le bacon jusqu'à ce qu'il soit croustillant. 4. Dans chaque petit pain, placez un burger cuit, du guacamole, une tranche de bacon et une tranche de fromage. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",30,https://i.ibb.co/jTRt3sw/guacamole-bacon-burger-1100.jpg
Tortellini au Jambon & Fromage,"400 g de tortellini au fromage, 200 g de jambon coupé en dés, 200 ml de crème, 60 g de parmesan râpé, 30 g de beurre, Sel et poivre au goût","1. Cuisez les tortellini selon les instructions du paquet. 2. Dans une poêle, chauffez la crème avec le jambon, le parmesan et le beurre. 3. Mélangez les tortellini cuits avec la sauce. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",25,https://i.ibb.co/K7HV9yy/gallery-1488567591-delish-ham-and-cheese-tortellini-pin-2.jpg
Hamburgers,"400 g de bœuf haché, 4 petits pains à hamburger, 4 tranches de fromage, 1 oignon, 4 feuilles de laitue, 2 tomates, 60 g de ketchup, 60 g de moutarde, Sel et poivre au goût","1. Façonnez le bœuf haché en burgers. 2. Cuisez les burgers selon vos préférences. 3. Sur chaque petit pain, placez un burger cuit, une tranche de fromage, de l'oignon, de la laitue et de la tomate. 4. Ajoutez du ketchup et de la moutarde. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",30,https://i.ibb.co/c2Q2xgs/23930.jpg
Rigatoni au Pesto et Cuit Sain,"400 g de rigatoni, 60 g de pesto, 200 g de tomates cerises coupées en deux, 200 g d'épinards frais, 200 g de mozzarella râpée, 30 g de parmesan râpé, Sel et poivre au goût","1. Cuisez les rigatoni selon les instructions du paquet. 2. Dans une poêle, faites sauter les tomates cerises, les épinards et le pesto. 3. Mélangez les rigatoni cuits avec les légumes sautés. 4. Ajoutez la mozzarella et le parmesan. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",25,https://i.ibb.co/F7xtrTQ/healthy-pesto-baked-rigatoni-81.jpg
Sandwiches à la Saucisse Italienne,"400 g de saucisse italienne, 4 petits pains, 200 g de poivrons, 1 oignon, 200 g de sauce tomate, 60 g de fromage mozzarella râpé",1. Cuisez la saucisse italienne dans une poêle avec les poivrons et l'oignon. 2. Préchauffez le four à 200°C. 3. Coupez les petits pains en deux dans le sens de la longueur. 4. Répartissez la saucisse cuite sur les moitiés de petits pains. 5. Ajoutez la sauce tomate et saupoudrez de fromage mozzarella. 6. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 7. Servez.,30,https://i.ibb.co/nm4q4GQ/exps41476-CFT1437885-D61-A.jpg
Sandwichs Juteux,"400 g de bœuf haché, 4 petits pains à hamburger, 4 tranches de fromage cheddar, 1 oignon rouge, 2 tomates, 4 feuilles de laitue, 60 g de ketchup, 60 g de mayonnaise, Sel et poivre au goût","1. Façonnez le bœuf haché en burgers. 2. Cuisez les burgers selon vos préférences. 3. Sur chaque petit pain, placez un burger cuit, une tranche de fromage cheddar, de l'oignon rouge, de la tomate et de la laitue. 4. Ajoutez du ketchup et de la mayonnaise. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",25,https://i.ibb.co/3NRXKxn/Arm-Roast-French-Dip-Sandwiches-Pic.jpg
Mac & Cheese avec Protéines,"400 g de macaroni, 200 g de fromage cheddar râpé, 200 g de brocoli, 200 g de poulet cuit coupé en dés, 200 ml de lait, 30 g de beurre, 30 g de farine, Sel et poivre au goût","1. Cuisez les macaronis selon les instructions du paquet. 2. Dans une casserole, faites fondre le beurre, ajoutez la farine, puis versez le lait en remuant constamment pour faire une sauce béchamel. 3. Ajoutez le fromage cheddar à la béchamel et mélangez jusqu'à ce qu'il soit fondu. 4. Ajoutez le brocoli et le poulet cuits. 5. Mélangez les macaronis cuits avec la sauce au fromage, au brocoli et au poulet. 6. Assaisonnez avec du sel et du poivre. 7. Servez.",30,https://i.ibb.co/8zKDFf3/c41ffe09-8520-4d29-9b4d-c1d63da3fae6.jpg
Subs aux Boulettes,"400 g de boulettes de viande, 4 petits pains à sous-marin, 200 g de sauce tomate, 200 g de fromage mozzarella râpé, 60 g de parmesan râpé, 1 cuillère à soupe d'origan séché","1. Cuisez les boulettes de viande. 2. Préchauffez le four à 200°C. 3. Coupez les petits pains en deux dans le sens de la longueur. 4. Répartissez les boulettes cuites sur les moitiés de petits pains. 5. Étalez la sauce tomate sur les boulettes. 6. Saupoudrez de mozzarella, de parmesan et d'origan. 7. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 8. Servez.",25,https://i.ibb.co/C54kL0Q/Screen-Shot-2018-07-22-at-1-56-44-PM.png
Pizza au Pain Naan,"400 g de pains naan, 200 g de sauce tomate, 200 g de fromage mozzarella râpé, 100 g de pepperoni, 1 poivron, 1 oignon","1. Préchauffez le four à 200°C. 2. Disposez les pains naan sur une plaque de cuisson. 3. Étalez la sauce tomate sur les pains naan. 4. Saupoudrez de mozzarella et disposez le pepperoni, le poivron et l'oignon. 5. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 6. Servez.",20,https://i.ibb.co/hBHX5p9/Nan-Pizza.jpg
Ravioli,"400 g de ravioli, 200 g de sauce tomate, 60 g de parmesan râpé, 30 g de beurre, 2 cuillères à soupe de basilic frais haché, Sel et poivre au goût","1. Cuisez les ravioli selon les instructions du paquet. 2. Dans une casserole, faites fondre le beurre, ajoutez la sauce tomate et chauffez. 3. Mélangez les ravioli cuits avec la sauce. 4. Ajoutez le parmesan et le basilic. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",20,https://i.ibb.co/3s2jjKv/Ravioli.jpg
Steaks de Chou-fleur Rôtis,"2 choux-fleurs, 60 ml d'huile d'olive, 2 cuillères à soupe de paprika, 1 cuillère à soupe de cumin, 1 cuillère à café de curcuma, Sel et poivre au goût","1. Préchauffez le four à 200°C. 2. Coupez le chou-fleur en tranches épaisses pour imiter des steaks. 3. Dans un bol, mélangez l'huile d'olive, le paprika, le cumin et le curcuma. 4. Badigeonnez les steaks de chou-fleur avec le mélange d'huile et d'épices. 5. Cuisez au four jusqu'à ce que les steaks soient dorés et tendres. 6. Assaisonnez avec du sel et du poivre. 7. Servez.",30,https://i.ibb.co/0tXK3Tk/5202919.jpg
Épis de Maïs Rôtis,"4 épis de maïs, 30 g de beurre, 2 cuillères à soupe de persil frais haché, Sel et poivre au goût",1. Préchauffez le four à 200°C. 2. Épluchez les épis de maïs et retirez les soies. 3. Étalez du beurre sur chaque épi. 4. Saupoudrez de persil. 5. Enveloppez chaque épi dans du papier d'aluminium. 6. Cuisez au four jusqu'à ce que le maïs soit tendre. 7. Assaisonnez avec du sel et du poivre. 8. Servez.,25,https://i.ibb.co/svKZ4qN/Air-fryer-roasted-corn-pin.jpg
Gyros au Seitan,"400 g de seitan, 4 pains pita, 200 g de yaourt grec, 1 concombre, 2 tomates, 1 oignon rouge, 2 gousses d'ail, 30 ml de jus de citron, 15 ml d'huile d'olive, Sel et poivre au goût","1. Cuisez le seitan. 2. Coupez le seitan cuit en lanières. 3. Dans un bol, mélangez le yaourt grec, le concombre, les tomates, l'oignon rouge, l'ail, le jus de citron et l'huile d'olive. 4. Assemblez les pains pita avec le seitan et la sauce. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",30,https://i.ibb.co/LQR7Y8T/Seitan-gyros.jpg
Pâté au Bœuf de Berger,"400 g de bœuf haché, 1 oignon, 2 carottes, 200 g de petits pois, 400 g de purée de pommes de terre, 30 g de beurre, 200 ml de bouillon de bœuf, Sel et poivre au goût","1. Dans une poêle, cuisez le bœuf haché avec l'oignon, les carottes et les petits pois. 2. Ajoutez le bouillon de bœuf et laissez mijoter jusqu'à ce que les légumes soient tendres. 3. Dans un plat allant au four, étalez le mélange de viande et de légumes. 4. Étalez la purée de pommes de terre sur le dessus. 5. Cuisez au four jusqu'à ce que la purée de pommes de terre soit dorée. 6. Assaisonnez avec du sel et du poivre. 7. Servez.",40,https://i.ibb.co/ncTZ9Pt/4e5fcc8b-84f4-4312-bd6a-e354136b4e5f.jpg
Sloppy Joes,"400 g de bœuf haché, 1 oignon, 1 poivron, 200 g de sauce tomate, 60 ml de sauce Worcestershire, 2 cuillères à soupe de vinaigre de cidre, 1 cuillère à soupe de moutarde, 4 petits pains","1. Dans une poêle, cuisez le bœuf haché avec l'oignon et le poivron. 2. Ajoutez la sauce tomate, la sauce Worcestershire, le vinaigre de cidre et la moutarde. 3. Laissez mijoter jusqu'à ce que la sauce épaississe. 4. Servez le mélange sur les petits pains.",25,https://i.ibb.co/Hz18wZw/747244.jpg
Tacos Moelleux,"400 g de poulet, 8 tortillas de maïs, 200 g de laitue, 200 g de tomates, 120 g de fromage cheddar râpé, 60 ml de salsa, 1 sachet d'assaisonnement pour tacos, Sel et poivre au goût","1. Cuisez le poulet avec l'assaisonnement pour tacos. 2. Réchauffez les tortillas. 3. Dans chaque tortilla, placez du poulet cuit, de la laitue, des tomates, du fromage cheddar et de la salsa. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",30,https://i.ibb.co/FmSKYsm/lentiltacos-6553-WP-edit.jpg
